id,time,country,province,city,lat,long
4642876,2017-06-21T00:07:03.090Z,CA,ON,Brampton,43.7033,-79.7603
4937937,2017-06-21T00:30:38.560Z,CA,AB,Beaumont,53.3501,-113.4187
5350318,2017-06-21T00:59:01.747Z,CA,ON,Toronto,43.6666,-79.3823
5449103,2017-06-21T01:08:26.210Z,CA,ON,Toronto,43.7129,-79.3888
5457784,2017-06-21T01:09:22.243Z,CA,QC,Laval,45.6236,-73.6861
5612935,2017-06-21T01:22:53.140Z,CA,ON,Ottawa,45.3519,-75.7911
5318880,2017-06-21T01:56:05.947Z,CA,AB,Canmore,51.0837,-115.368
5376155,2017-06-21T02:00:38.523Z,CA,ON,Toronto,43.6563,-79.3858
5563201,2017-06-21T02:18:35.850Z,CA,AB,Red Deer,52.3041,-113.7976
4847418,2017-06-21T02:23:01.013Z,CA,ON,Etobicoke,43.6759,-79.5639
4646294,2017-06-21T03:07:12.387Z,CA,ON,Scarborough,43.7658,-79.185
5082760,2017-06-21T03:39:37.740Z,CA,BC,Abbotsford,49.05882,-122.27276
5141627,2017-06-21T03:43:49.263Z,CA,AB,Calgary,51.0627,-114.1174
5451816,2017-06-21T04:08:54.940Z,CA,ON,Nobleton,44.32973,-79.22352
5398989,2017-06-21T05:02:39.843Z,CA,QC,Montréal,45.5694,-73.6221
4615028,2017-06-21T06:05:09.610Z,CA,ON,London,42.9835,-81.2386
5488835,2017-06-21T06:12:02.527Z,CA,AB,Red Deer,52.2651,-113.794
4732868,2017-06-21T06:14:04.420Z,CA,AB,Edmonton,53.4501,-113.461
4737602,2017-06-21T06:14:20.250Z,CA,AB,Calgary,51.05574,-113.95685
5259245,2017-06-21T06:52:30.383Z,CA,ON,Scarborough,43.7295,-79.2629
4526443,2017-06-21T07:00:21.727Z,CA,AB,Calgary,50.93982,-114.03211
4775565,2017-06-21T07:17:00.520Z,CA,AB,Edmonton,53.5366,-113.5103
4630961,2017-06-21T08:06:13.103Z,CA,ON,Innisfil,44.29603,-79.75424
5035997,2017-06-21T08:36:28.833Z,CA,SK,Saskatoon,52.1168,-106.6345
4753136,2017-06-21T09:15:23.120Z,CA,AB,Edmonton,53.5129,-113.623
4755803,2017-06-21T09:15:33.517Z,CA,ON,Etobicoke,43.6928,-79.531
4643580,2017-06-21T10:07:05.343Z,CA,AB,Calgary,50.92251,-114.11547
4727745,2017-06-21T10:13:49.520Z,CA,AB,Calgary,51.0419,-114.061
4739896,2017-06-21T10:14:37.337Z,CA,ON,Mississauga,43.5364,-79.6909
5552330,2017-06-21T10:17:53.827Z,CA,ON,Toronto,43.6459,-79.3857
4869761,2017-06-21T10:24:48.203Z,CA,ON,Toronto,43.672,-79.3791
4946801,2017-06-21T10:31:06.043Z,CA,AB,Edmonton,53.5515,-113.492
4975028,2017-06-21T10:32:36.107Z,CA,ON,Toronto,43.7537,-79.2659
5087554,2017-06-21T10:40:01.403Z,CA,ON,London,43.01776,-81.23715
5167657,2017-06-21T10:45:34.970Z,CA,AB,Calgary,51.1264,-114.1419
5260123,2017-06-21T10:52:31.663Z,CA,AB,Fort Mcmurray,56.7377,-111.438
4617416,2017-06-21T11:05:24.490Z,CA,AB,Edmonton,53.44183,-113.58934
5593653,2017-06-21T11:21:07.760Z,CA,AB,Red Deer,52.2316,-113.8358
5034798,2017-06-21T11:36:15.797Z,CA,QC,Laval,45.608,-73.7439
5274362,2017-06-21T11:53:33.660Z,CA,AB,Calgary,51.0196,-114.20029
4692797,2017-06-21T12:10:59.210Z,CA,ON,Pickering,43.86255,-79.08609
5474815,2017-06-21T12:11:00.637Z,CA,ON,Toronto,43.6557,-79.3646
5535387,2017-06-21T13:16:36.007Z,CA,AB,Calgary,51.0823,-113.9578
5287675,2017-06-21T13:54:33.913Z,CA,AB,Red Deer,52.2651,-113.794
4977242,2017-06-21T14:32:47.017Z,CA,QC,Montréal,45.5335,-73.667
4856166,2017-06-21T15:23:39.393Z,CA,AB,Calgary,51.1264,-114.1419
4883502,2017-06-21T15:26:05.023Z,CA,NB,Moncton,46.10602,-64.74557
4945467,2017-06-21T15:31:03.400Z,CA,AB,Edmonton,53.587,-113.441
5238699,2017-06-21T15:50:59.610Z,CA,AB,Calgary,51.0905,-114.182
4581634,2017-06-21T16:02:30.280Z,CA,ON,Kitchener,43.4307,-80.4878
4741805,2017-06-21T16:14:41.280Z,CA,AB,Edmonton,53.4564,-113.521
4999312,2017-06-21T16:34:06.353Z,CA,ON,Mississauga,43.5869,-79.7559
4517905,2017-06-21T17:00:00.183Z,CA,ON,Windsor,42.2957,-82.9599
4816177,2017-06-21T17:20:26.737Z,CA,QC,Montréal,45.4934,-73.5837
4940582,2017-06-21T17:30:53.147Z,CA,AB,Calgary,51.11516,-114.08176
5375370,2017-06-21T18:00:34.663Z,CA,ON,London,43.0061,-81.2962
4727405,2017-06-21T18:13:49.197Z,CA,QC,Matane,48.82394,-67.50175
5532823,2017-06-21T18:16:15.907Z,CA,ON,Ajax,43.82794,-79.02904
5042219,2017-06-21T18:36:54.763Z,CA,AB,Calgary,51.0242,-114.1004
5113151,2017-06-21T18:41:54.227Z,CA,ON,Peterborough,44.2912,-78.31834
4852719,2017-06-21T19:23:27.827Z,CA,ON,Barrie,44.41441,-79.71049
4698334,2017-06-21T20:11:26.283Z,CA,AB,Calgary,51.0242,-114.1004
4912669,2017-06-21T20:28:37.650Z,CA,AB,Wetaskiwin,52.8333,-113.45
5256577,2017-06-21T20:52:17.653Z,CA,ON,London,42.993,-81.169
4531849,2017-06-21T21:00:42.660Z,CA,ON,Granton,43.20317,-81.22517
5418266,2017-06-21T21:04:39.507Z,CA,ON,Toronto,43.6557,-79.3646
4621193,2017-06-21T21:05:42.693Z,CA,QC,Vaudreuil-Dorion,45.3838,-74.041
4780372,2017-06-21T21:17:15.763Z,CA,ON,Mississauga,43.5738,-79.7193
5156735,2017-06-21T21:44:39.430Z,CA,QC,Montreal,45.65,-73.4833
5311743,2017-06-21T21:55:49.317Z,CA,ON,Brampton,43.7592,-79.7605
4673436,2017-06-21T22:09:10.003Z,CA,BC,Kamloops,50.67129,-120.32916
4793851,2017-06-21T22:18:12.250Z,CA,ON,Richmond Hill,43.9221,-79.4632
5128806,2017-06-21T22:42:56.953Z,CA,AB,Calgary,51.0571,-114.077
5200269,2017-06-21T22:47:57.967Z,CA,ON,Waterloo,43.4639,-80.5883
5252334,2017-06-21T22:51:56.583Z,CA,AB,Coronation,52.1033,-111.45
